bx,by,rx,ry,T
1,2,19,28,45.31336508863979
1,2,20,3,27.581046139597827
1,2,20,7,29.437185048304173
1,2,20,13,33.418642822879306
1,2,20,17,41.478421271321444
1,2,20,19,42.6517726111001
1,2,20,21,43.72530795362002
1,2,20,23,44.82508938978739
1,2,21,2,28.07055122088579
1,2,21,4,28.172282895691307
1,2,21,6,29.279616429318718
1,2,21,8,30.731542356766198
1,2,21,10,31.900697204597396
1,2,21,14,35.675090892338254
1,2,21,22,43.55274318543839
1,2,21,24,46.70913469548111
1,2,21,26,46.92839684844112
1,2,22,1,28.099162660489785
1,2,22,3,29.391287598906583
1,2,22,7,31.09012410824433
1,2,22,15,38.51711366148245
1,2,22,17,40.36959966466973
1,2,22,19,41.20011807227669
1,2,22,21,42.29502814240108
1,2,23,2,30.63194313582022
1,2,23,4,30.992146139919885
1,2,23,10,34.250047857656746
1,2,23,12,35.38696069298234
1,2,23,18,40.991400940110466
1,2,23,20,41.39119178949524
1,2,23,24,47.53907230410443
1,2,23,26,57.54060149100869
1,2,23,28,57.73022631088427
1,2,24,1,30.786923114884292
1,2,24,3,30.92156854292376
1,2,24,7,33.23342661251795
1,2,24,11,36.26821534357207
1,2,24,15,39.75531997152758
1,2,24,17,42.35077409190913
1,2,25,4,32.57137892596236
1,2,25,6,33.52154699632787
1,2,25,8,34.96205958183985
1,2,25,12,37.983309010396894
1,2,25,16,41.38734419347044
1,2,25,18,42.35077409190913
1,2,25,20,47.81099176665272
1,2,25,22,48.77585448668086
1,2,25,26,57.111921875315524
1,2,25,28,57.54689516313622
1,2,26,1,30.793325823415337
1,2,26,3,36.12496173074738
1,2,26,5,34.751943637998124
1,2,26,9,36.537770513205814
1,2,26,13,39.28788690166996
1,2,26,15,40.11442816778628
1,2,26,17,43.3942349898457
1,2,26,19,46.826155485080825
1,2,26,25,56.97582115476754
1,2,26,27,57.123266574961
1,2,27,2,36.12496173074738
1,2,27,4,36.01659770512226
1,2,27,6,36.53233182493898
1,2,27,8,37.41353138345504
1,2,27,10,37.86653066428115
1,2,27,12,38.76059229825082
1,2,27,14,39.8049420405408
1,2,27,16,44.37201022150104
1,2,27,18,45.6211195080454
1,2,27,22,49.627577874015344
1,2,27,26,55.99037322919379
1,2,28,3,36.09392216708219
1,2,28,5,35.9624156923097
1,2,28,7,37.41353138345504
1,2,28,9,37.76736260974768
1,2,28,13,39.215826122570604
1,2,28,15,44.30632455521982
1,2,28,19,46.591403060851086
1,2,28,21,48.11432397501018
1,2,28,23,51.901320739723324
1,2,28,25,54.07244353924605
1,2,28,27,55.20136948358791
1,2,29,28,55.275141403241825
1,4,1,2,3.125
1,4,1,4,0.0
1,4,1,6,22.602927897365287
1,4,1,8,22.21340346613139
1,4,1,10,21.24032283024002
1,4,1,12,19.82508573840638
1,4,1,16,25.128914486709192
1,4,1,18,25.550535913055967
1,4,1,20,26.34595347146615
1,4,1,28,35.57406270861985
1,4,2,3,2.3097408353537965
1,4,2,5,2.228363378954717
1,4,2,7,22.602927897365287
1,4,2,17,24.747719355784376
1,4,2,25,32.4392269950077
1,4,3,6,4.280504863621388
1,4,3,8,11.643361246821932
1,4,3,12,18.295722912053076
1,4,3,14,17.51227242213247
1,4,3,16,24.361770191937264
1,4,3,18,25.236476323907535
1,4,3,20,26.992649384787924
1,4,3,22,28.697346544541276
1,4,3,24,30.31515779326007
1,4,3,26,34.317562006692825
1,4,3,28,35.368054183858796
1,4,4,1,6.737981576094537
1,4,4,3,4.5615803199424665
1,4,4,5,4.280504863621388
1,4,4,7,5.104282969333344
1,4,4,9,11.628905430509583
1,4,4,13,17.176151802451002
1,4,4,17,23.303342455511533
1,4,4,25,29.981203247934005
1,4,4,27,35.74234047654835
1,4,5,2,6.258561754117419
1,4,5,4,6.607133988788025
1,4,5,6,6.717154189642045
1,4,5,8,10.827810215879596
1,4,5,10,12.68416049497119
1,4,5,12,15.319177904058602
1,4,5,16,21.562271529798565
1,4,5,18,22.2449147190858
1,4,5,20,27.546542977497417
1,4,5,22,28.491360430128264
1,4,5,24,29.510731586309586
1,4,5,26,36.27396174916939
1,4,6,1,6.573185374411296
1,4,6,3,6.94268721428815
1,4,6,7,9.185598113756352
1,4,6,13,18.21532650907105
1,4,6,15,19.880835856369544
1,4,6,19,25.044764947639788
1,4,6,21,27.33737662532161
1,4,6,25,36.333363270231445
1,4,6,27,36.49970455221708
1,4,7,2,7.613793665288401
1,4,7,4,8.648594419876474
1,4,7,6,9.55693675728779
1,4,7,8,10.69099855503002
1,4,7,12,19.28416240203844
1,4,7,16,21.695738669061875
1,4,7,18,23.778306972626105
1,4,7,20,25.90224996574715
1,4,7,22,27.507907635670126
1,4,8,1,17.512780919864127
1,4,8,11,19.94272514692929
1,4,8,13,19.79902622447347
1,4,8,17,22.511848997612425
1,4,8,19,25.825447635047833
1,4,8,25,36.27555306891911
1,4,8,27,36.57029968192503
1,4,9,2,17.39783228868172
1,4,9,4,10.78894090515341
1,4,9,6,11.483658964449303
1,4,9,8,12.446864349511594
1,4,9,14,21.358276360937666
1,4,9,22,28.934062209100215
1,4,9,28,36.6200582538417
1,4,10,1,17.45916520867544
1,4,10,3,16.897028460834395
1,4,10,5,12.637598929850304
1,4,10,7,12.831006236740752
1,4,10,11,20.58343622952119
1,4,10,13,20.685970352703414
1,4,10,15,22.847175962029052
1,4,10,17,26.675434898781475
1,4,10,19,27.53290566116162
1,4,10,21,29.23546962270733
1,4,10,25,35.66989612505322
1,4,10,27,36.54610348075767
1,4,11,4,15.17782856190381
1,4,11,8,15.072095705973823
1,4,11,12,20.92644703372504
1,4,11,16,24.905159511953784
1,4,11,22,30.531990774643745
1,4,11,24,34.11536233623571
1,4,12,1,17.662648781369562
1,4,12,3,17.566400965654328
1,4,12,7,17.661631388930225
1,4,12,9,17.70128586503536
1,4,12,11,19.880051378426895
1,4,12,13,21.6681972719201
1,4,12,15,22.916620191989864
1,4,12,17,26.990535390446055
1,4,12,19,28.441001027554364
1,4,12,21,30.135823950770423
1,4,12,25,36.23036317592917
1,4,12,27,37.062322577365194
1,4,13,2,18.094014816396754
1,4,13,4,19.060475559029243
1,4,13,12,22.100788612823806
1,4,13,14,22.254120186997536
1,4,13,16,33.045846320473274
1,4,13,20,30.652058365076456
1,4,13,26,37.600114531403655
1,4,13,28,37.30752885742462
1,4,14,3,19.251062663637956
1,4,14,5,20.328665804460886
1,4,14,7,19.669304956471095
1,4,14,9,24.47265984396043
1,4,14,11,23.79598135638269
1,4,14,13,23.803972869229597
1,4,14,15,33.045846320473274
1,4,14,17,33.045846320473274
1,4,14,21,31.727632268474167
1,4,14,23,39.08194908253355
1,4,14,25,38.192771192980956
1,4,15,2,21.026172264489436
1,4,15,6,20.737458268414954
1,4,15,10,25.47417735387795
1,4,15,14,24.488642869654242
1,4,15,16,32.87305137268433
1,4,15,18,34.0391558611786
1,4,15,20,32.6550358868447
1,4,15,22,39.57783501063886
1,4,15,26,38.8396442166127
1,4,15,28,40.36657723570562
1,4,16,1,21.994782320420228
1,4,16,5,22.17118897065747
1,4,16,9,26.724759819920127
1,4,16,13,25.531260052525603
1,4,16,15,32.510222120933136
1,4,16,19,33.81079768319692
1,4,16,21,33.713779063289955
1,4,16,23,40.074363578927496
1,4,16,25,39.05358203226313
1,4,17,2,23.205501450506663
1,4,17,10,27.392870473478418
1,4,17,12,27.77082037471003
1,4,17,14,31.776913880277018
1,4,17,16,32.63556765275163
1,4,17,18,33.926984156185746
1,4,17,20,33.78636725489252
1,4,17,28,41.918893333713605
1,4,18,3,25.70860692498648
1,4,18,5,25.728518091055676
1,4,18,7,27.80545118075462
1,4,18,11,28.33898355944513
1,4,18,13,30.087195691074072
1,4,18,17,33.35053558379076
1,4,18,19,33.87317804464527
1,4,18,23,41.90263998607804
1,4,18,25,44.67307642577809
1,4,19,4,26.728779288731545
1,4,19,6,27.970942972005695
1,4,19,8,29.00014711156844
1,4,19,10,29.135352543012146
1,4,19,12,29.721180545740843
1,4,19,14,31.90569939189165
1,4,19,16,32.5554977511154
1,4,19,26,44.51992018395541
1,4,19,28,43.360342802958144
1,4,20,3,27.560061815337587
1,4,20,7,29.122965354116054
1,4,20,13,31.38016554958316
1,4,20,17,39.45664953084513
1,4,20,19,40.673085706120794
1,4,20,21,41.80426234658597
1,4,20,23,42.96307031606319
1,4,21,2,28.064192485404387
1,4,21,4,28.141448622350975
1,4,21,6,29.160258632101517
1,4,21,8,30.221705012042737
1,4,21,10,30.85232370130123
1,4,21,14,33.626746535510286
1,4,21,22,41.6316046699679
1,4,21,24,44.855772508356324
1,4,21,26,45.04866686430926
1,4,22,1,28.09829451708457
1,4,22,3,29.386237144282873
1,4,22,7,30.91332420225098
1,4,22,15,36.47239960903848
1,4,22,17,38.32739640477937
1,4,22,19,39.17137733170513
1,4,22,21,40.31339900021611
1,4,23,2,30.631601639673242
1,4,23,4,30.991836559998617
1,4,23,10,32.86992524541613
1,4,23,12,33.801335673390554
1,4,23,18,38.955236726800386
1,4,23,20,39.36787791029627
1,4,23,24,45.67572601666393
1,4,23,26,55.60095678678056
1,4,23,28,55.79318346291251
1,4,24,1,30.786898760398884
1,4,24,3,30.921264956251623
1,4,24,7,33.18019151473927
1,4,24,11,34.77152703931375
1,4,24,15,37.75634549496285
1,4,24,17,40.331900571374895
1,4,25,4,32.56989733078592
1,4,25,6,33.509273953409846
1,4,25,8,34.88696801430885
1,4,25,12,36.58118080474999
1,4,25,16,39.40026414044101
1,4,25,18,40.331900571374895
1,4,25,20,45.81659494892358
1,4,25,22,46.79113531129832
1,4,25,26,55.16727194017375
1,4,25,28,55.607609561791854
1,4,26,1,30.793325823415337
1,4,26,3,36.124908516722044
1,4,26,5,34.74954142071866
1,4,26,9,36.34972342818142
1,4,26,13,37.76663957773461
1,4,26,15,38.278971509083576
1,4,26,17,41.37148076178762
1,4,26,19,44.81964005274895
1,4,26,25,55.02969801465137
1,4,26,27,55.179140951035
1,4,27,2,36.124908516722044
1,4,27,4,36.01583116977614
1,4,27,6,36.51956795230521
1,4,27,8,37.367664357944996
1,4,27,10,37.45697689137916
1,4,27,12,37.75218050807629
1,4,27,14,38.08931530866004
1,4,27,16,42.34127414579858
1,4,27,18,43.602699063781294
1,4,27,22,47.64342316637927
1,4,27,26,54.03645229200622
1,4,28,3,36.093806870027294
1,4,28,5,35.9612924963032
1,4,28,7,37.367664357944996
1,4,28,9,37.60210299362663
1,4,28,13,38.216094228916134
1,4,28,15,42.271487339396806
1,4,28,19,44.580314456943945
1,4,28,21,46.116777555808504
1,4,28,23,49.92727654361582
1,4,28,25,52.10729492220591
1,4,28,27,53.23902842648302
1,4,29,28,53.311243574675544
1,6,1,2,25.29659087560884
1,6,1,4,24.249113992954012
1,6,1,6,0.0
1,6,1,8,2.000581966268552
1,6,1,10,4.007338967074913
1,6,1,12,6.0592557683451655
1,6,1,16,21.12160336834726
1,6,1,18,21.571291187216808
1,6,1,20,22.411422146013077
1,6,1,28,31.66819556903391
1,6,2,3,24.730901708474974
1,6,2,5,23.536816770926205
1,6,2,7,1.0
1,6,2,17,20.687252636681322
1,6,2,25,28.508036662163818
1,6,3,6,22.49037590230911
1,6,3,8,15.724905472808075
1,6,3,12,8.275385073736466
1,6,3,14,9.433901126260878
1,6,3,16,20.252857403928278
1,6,3,18,21.17959725946381
1,6,3,20,23.037637288959463
1,6,3,22,24.778797414861184
1,6,3,24,26.40075556602999
1,6,3,26,30.42459154593273
1,6,3,28,31.48635830224746
1,6,4,1,25.420897675327662
1,6,4,3,24.68205846136553
1,6,4,5,22.49037590230911
1,6,4,7,22.15623225571982
1,6,4,9,15.806614441985168
1,6,4,13,11.005405290492964
1,6,4,17,19.11575085694296
1,6,4,25,26.080284541763948
1,6,4,27,31.925471781439917
1,6,5,2,24.941414190067164
1,6,5,4,24.294279713877085
1,6,5,6,21.716492305600823
1,6,5,8,17.382032549692102
1,6,5,10,14.789543587568984
1,6,5,12,13.173768585482119
1,6,5,16,17.248068223264863
1,6,5,18,17.978644309957637
1,6,5,20,23.588474084057893
1,6,5,22,24.56106299080494
1,6,5,24,25.606691297445686
1,6,5,26,32.50448576394707
1,6,6,1,25.317761615480535
1,6,6,3,24.152659896338168
1,6,6,7,20.076247021851888
1,6,6,13,13.919282298474167
1,6,6,15,15.510999285509628
1,6,6,19,20.842495574263594
1,6,6,21,23.304675271373803
1,6,6,25,32.38485109569118
1,6,6,27,32.72295008984527
1,6,7,2,23.86942026126034
1,6,7,4,23.606130238128305
1,6,7,6,22.32243866141643
1,6,7,8,19.548044282449027
1,6,7,12,15.087409574618349
1,6,7,16,17.3550900851899
1,6,7,18,19.517591804035654
1,6,7,20,21.74864033524372
1,6,7,22,23.418359675883433
1,6,8,1,29.196913606578075
1,6,8,11,15.987300678176501
1,6,8,13,15.707082173122242
1,6,8,17,18.192688033807713
1,6,8,19,21.677655236419536
1,6,8,25,32.335905548606824
1,6,8,27,32.698711549140825
1,6,9,2,29.100087149688726
1,6,9,4,23.68037361487086
1,6,9,6,23.345338210555724
1,6,9,8,21.380070303586
1,6,9,14,17.47186315565958
1,6,9,22,24.88642913840144
1,6,9,28,32.703862302988526
1,6,10,1,29.159736116694518
1,6,10,3,28.62675638964876
1,6,10,5,24.28932590374697
1,6,10,7,22.99808463858117
1,6,10,11,17.224097500965865
1,6,10,13,17.292027155726405
1,6,10,15,19.271871947481458
1,6,10,17,22.79640965485632
1,6,10,19,23.524942953201986
1,6,10,21,25.20760731236507
1,6,10,25,31.687695335049654
1,6,10,27,32.60299120340393
1,6,11,4,26.929217810844612
1,6,11,8,23.166511015288457
1,6,11,12,19.364863601032162
1,6,11,16,21.356211794107523
1,6,11,22,26.500382927687458
1,6,11,24,30.078525961209042
1,6,12,1,29.318985090016795
1,6,12,3,29.116821836281744
1,6,12,7,25.26136819920106
1,6,12,9,23.09362166873437
1,6,12,11,21.582034077028233
1,6,12,13,20.640846210127066
1,6,12,15,20.368018556643186
1,6,12,17,23.12624203768663
1,6,12,19,24.491632448063598
1,6,12,21,26.108451051502435
1,6,12,25,32.16732407744912
1,6,12,27,33.056644916921734
1,6,13,2,29.55010671117354
